Cliente,Recurrencia Digital
520121032,Si
520134317,Si
520138917,Si
520145472,Si
520158706,Si
520162632,Si
520180310,Si
520188260,Si
520190722,Si
520200283,Si
520202257,Si
520222968,Si
520224297,Si
520263319,Si
520263993,Si
520282972,Si
520284751,Si
520302296,Si
520303318,Si
520317125,Si
520367337,Si
520384934,Si
520385135,Si
520386489,Si
520386807,Si
1910024128,Si
1910031788,Si
1910031889,Si
1910032072,Si
1910032681,Si
1910033240,Si
1917001239,Si
1921001735,Si
1921018962,Si
1921023350,Si
1924005748,Si
1924013202,Si
1925001416,Si
1925033790,Si
1926000676,Si
1926004018,Si
1926013222,Si
1927013338,Si
1927020440,Si
1928000388,Si
1928009717,Si
1928976482,Si
1928982599,Si
1930059927,Si
1931000361,Si
1931006841,Si
1931117417,Si
1931121895,Si
1932017253,Si
1944018085,Si
1950007334,Si
1950008199,Si
1950010733,Si
1950013567,Si
1950019609,Si
1950025155,Si
1950025656,Si
1950026237,Si
1950026413,Si
1950033918,Si
1950036579,Si
1950041558,Si
1950043199,Si
1950044767,Si
1950051432,Si
1950053943,Si
1950055315,Si
1950056882,Si
1950059213,Si
1950061386,Si
1950061585,Si
1950062862,Si
1950064941,Si
1950071125,Si
1950079336,Si
1950079690,Si
1950084673,Si
